127.0.0.1 - - [16/May/2018:12:45:55 +0900] "GET / HTTP/1.1" 404 1019
0:0:0:0:0:0:0:1 - - [16/May/2018:12:45:56 +0900] "GET /studyb/B28_HelloWeb_main.jsp HTTP/1.1" 200 316
0:0:0:0:0:0:0:1 - - [16/May/2018:12:45:56 +0900] "GET /studyb/B28_HelloWeb_Output.jsp HTTP/1.1" 200 157
0:0:0:0:0:0:0:1 - - [16/May/2018:12:45:56 +0900] "GET /studyb/B28_HelloWeb_Input.jsp HTTP/1.1" 200 721
0:0:0:0:0:0:0:1 - - [16/May/2018:12:45:56 +0900] "GET /favicon.ico HTTP/1.1" 404 1041
0:0:0:0:0:0:0:1 - - [16/May/2018:12:45:58 +0900] "POST /studyb/B28_HelloWeb_Servlet HTTP/1.1" 200 316
0:0:0:0:0:0:0:1 - - [16/May/2018:12:45:58 +0900] "GET /studyb/B28_HelloWeb_Input.jsp HTTP/1.1" 200 721
0:0:0:0:0:0:0:1 - - [16/May/2018:12:45:58 +0900] "GET /studyb/B28_HelloWeb_Output.jsp HTTP/1.1" 200 175
0:0:0:0:0:0:0:1 - - [16/May/2018:12:45:59 +0900] "POST /studyb/B28_HelloWeb_Servlet HTTP/1.1" 200 316
0:0:0:0:0:0:0:1 - - [16/May/2018:12:45:59 +0900] "GET /studyb/B28_HelloWeb_Input.jsp HTTP/1.1" 200 721
0:0:0:0:0:0:0:1 - - [16/May/2018:12:45:59 +0900] "GET /studyb/B28_HelloWeb_Output.jsp HTTP/1.1" 200 190
0:0:0:0:0:0:0:1 - - [16/May/2018:12:46:00 +0900] "POST /studyb/B28_HelloWeb_Servlet HTTP/1.1" 200 316
0:0:0:0:0:0:0:1 - - [16/May/2018:12:46:00 +0900] "GET /studyb/B28_HelloWeb_Input.jsp HTTP/1.1" 200 721
0:0:0:0:0:0:0:1 - - [16/May/2018:12:46:00 +0900] "GET /studyb/B28_HelloWeb_Output.jsp HTTP/1.1" 200 205
