127.0.0.1 - - [27/Jun/2018:16:48:46 +0900] "GET / HTTP/1.1" 404 1019
0:0:0:0:0:0:0:1 - - [27/Jun/2018:16:48:47 +0900] "GET /shopping/ HTTP/1.1" 404 1081
0:0:0:0:0:0:0:1 - - [27/Jun/2018:16:48:47 +0900] "GET /favicon.ico HTTP/1.1" 404 1041
0:0:0:0:0:0:0:1 - - [27/Jun/2018:16:49:14 +0900] "GET /shopping/ HTTP/1.1" 404 1081
0:0:0:0:0:0:0:1 - - [27/Jun/2018:16:49:17 +0900] "GET /shopping/ HTTP/1.1" 404 1081
0:0:0:0:0:0:0:1 - - [27/Jun/2018:16:49:26 +0900] "GET /shopping/ HTTP/1.1" 404 1083
0:0:0:0:0:0:0:1 - - [27/Jun/2018:16:49:53 +0900] "GET /shopping/ HTTP/1.1" 200 14235
0:0:0:0:0:0:0:1 - - [27/Jun/2018:16:49:53 +0900] "GET /shopping/js/popper.min.js HTTP/1.1" 404 1017
0:0:0:0:0:0:0:1 - - [27/Jun/2018:16:49:53 +0900] "GET /shopping/img/core-img/logo.png HTTP/1.1" 404 1017
0:0:0:0:0:0:0:1 - - [27/Jun/2018:16:49:53 +0900] "GET /shopping/img/core-img/search.png HTTP/1.1" 404 1017
0:0:0:0:0:0:0:1 - - [27/Jun/2018:16:49:53 +0900] "GET /shopping/css/core-style.css HTTP/1.1" 404 1017
0:0:0:0:0:0:0:1 - - [27/Jun/2018:16:49:53 +0900] "GET /shopping/js/jquery/jquery-2.2.4.min.js HTTP/1.1" 404 1017
0:0:0:0:0:0:0:1 - - [27/Jun/2018:16:49:53 +0900] "GET /shopping/style.css HTTP/1.1" 404 1017
0:0:0:0:0:0:0:1 - - [27/Jun/2018:16:49:53 +0900] "GET /shopping/js/bootstrap.min.js HTTP/1.1" 404 1017
0:0:0:0:0:0:0:1 - - [27/Jun/2018:16:49:53 +0900] "GET /shopping/js/active.js HTTP/1.1" 404 1017
0:0:0:0:0:0:0:1 - - [27/Jun/2018:16:49:53 +0900] "GET /shopping/img/core-img/favorites.png HTTP/1.1" 404 1017
0:0:0:0:0:0:0:1 - - [27/Jun/2018:16:49:53 +0900] "GET /shopping/img/core-img/cart.png HTTP/1.1" 404 1017
0:0:0:0:0:0:0:1 - - [27/Jun/2018:16:49:53 +0900] "GET /shopping/js/jquery/jquery-2.2.4.min.js HTTP/1.1" 404 1017
0:0:0:0:0:0:0:1 - - [27/Jun/2018:16:49:53 +0900] "GET /shopping/js/plugins.js HTTP/1.1" 404 1017
0:0:0:0:0:0:0:1 - - [27/Jun/2018:16:49:53 +0900] "GET /shopping/img/bg-img/1.jpg HTTP/1.1" 404 1017
0:0:0:0:0:0:0:1 - - [27/Jun/2018:16:49:53 +0900] "GET /shopping/img/bg-img/4.jpg HTTP/1.1" 404 1017
0:0:0:0:0:0:0:1 - - [27/Jun/2018:16:49:53 +0900] "GET /shopping/img/bg-img/7.jpg HTTP/1.1" 404 1017
0:0:0:0:0:0:0:1 - - [27/Jun/2018:16:49:53 +0900] "GET /shopping/img/bg-img/5.jpg HTTP/1.1" 404 1017
0:0:0:0:0:0:0:1 - - [27/Jun/2018:16:49:53 +0900] "GET /shopping/img/bg-img/6.jpg HTTP/1.1" 404 1017
0:0:0:0:0:0:0:1 - - [27/Jun/2018:16:49:53 +0900] "GET /shopping/img/bg-img/9.jpg HTTP/1.1" 404 1017
0:0:0:0:0:0:0:1 - - [27/Jun/2018:16:49:53 +0900] "GET /shopping/img/core-img/logo2.png HTTP/1.1" 404 1017
0:0:0:0:0:0:0:1 - - [27/Jun/2018:16:49:53 +0900] "GET /shopping/img/bg-img/8.jpg HTTP/1.1" 404 1017
0:0:0:0:0:0:0:1 - - [27/Jun/2018:16:49:53 +0900] "GET /shopping/img/bg-img/2.jpg HTTP/1.1" 404 1017
0:0:0:0:0:0:0:1 - - [27/Jun/2018:16:49:53 +0900] "GET /shopping/img/bg-img/3.jpg HTTP/1.1" 404 1017
0:0:0:0:0:0:0:1 - - [27/Jun/2018:16:49:53 +0900] "GET /shopping/js/popper.min.js HTTP/1.1" 404 1017
0:0:0:0:0:0:0:1 - - [27/Jun/2018:16:49:53 +0900] "GET /shopping/js/bootstrap.min.js HTTP/1.1" 404 1017
0:0:0:0:0:0:0:1 - - [27/Jun/2018:16:49:53 +0900] "GET /shopping/js/plugins.js HTTP/1.1" 404 1017
0:0:0:0:0:0:0:1 - - [27/Jun/2018:16:49:53 +0900] "GET /shopping/js/active.js HTTP/1.1" 404 1017
0:0:0:0:0:0:0:1 - - [27/Jun/2018:16:49:53 +0900] "GET /shopping/img/core-img/favicon.ico HTTP/1.1" 404 1017
