127.0.0.1 - - [29/May/2018:11:10:28 +0900] "GET / HTTP/1.1" 404 1019
0:0:0:0:0:0:0:1 - - [29/May/2018:11:10:29 +0900] "GET /studyb/B28_HelloWeb_main.jsp HTTP/1.1" 200 316
0:0:0:0:0:0:0:1 - - [29/May/2018:11:10:29 +0900] "GET /studyb/B28_HelloWeb_Output.jsp HTTP/1.1" 200 157
0:0:0:0:0:0:0:1 - - [29/May/2018:11:10:30 +0900] "GET /studyb/B28_HelloWeb_Input.jsp HTTP/1.1" 200 707
0:0:0:0:0:0:0:1 - - [29/May/2018:11:10:30 +0900] "GET /favicon.ico HTTP/1.1" 404 1041
0:0:0:0:0:0:0:1 - - [29/May/2018:11:10:31 +0900] "POST /studyb/B28_HelloWeb_Servlet HTTP/1.1" 200 316
0:0:0:0:0:0:0:1 - - [29/May/2018:11:10:31 +0900] "GET /studyb/B28_HelloWeb_Input.jsp HTTP/1.1" 200 707
0:0:0:0:0:0:0:1 - - [29/May/2018:11:10:31 +0900] "GET /studyb/B28_HelloWeb_Output.jsp HTTP/1.1" 200 169
0:0:0:0:0:0:0:1 - - [29/May/2018:11:15:19 +0900] "GET /studyb/B28_HelloWeb_main.jsp HTTP/1.1" 200 316
0:0:0:0:0:0:0:1 - - [29/May/2018:11:15:19 +0900] "GET /studyb/B28_HelloWeb_Output.jsp HTTP/1.1" 200 169
0:0:0:0:0:0:0:1 - - [29/May/2018:11:15:19 +0900] "GET /studyb/B28_HelloWeb_Input.jsp HTTP/1.1" 200 721
0:0:0:0:0:0:0:1 - - [29/May/2018:11:15:22 +0900] "POST /studyb/B28_HelloWeb_Servlet HTTP/1.1" 200 316
0:0:0:0:0:0:0:1 - - [29/May/2018:11:15:22 +0900] "GET /studyb/B28_HelloWeb_Input.jsp HTTP/1.1" 200 721
0:0:0:0:0:0:0:1 - - [29/May/2018:11:15:22 +0900] "GET /studyb/B28_HelloWeb_Output.jsp HTTP/1.1" 200 178
